groupHeader3_GroupColumn	groupHeader4_GroupColumn	groupHeader5_GroupColumn	groupHeader6_GroupColumn	groupHeader7_GroupColumn	groupHeader8_GroupColumn	groupHeader9_GroupColumn	groupHeader10_GroupColumn	groupHeader11_GroupColumn	detail_WBS1	detail_WBS2	detail_Name	detail_OrgName	detail_Fee	detail_FeeDirLab	detail_ReimbAllow	groupFooter11_GroupColumn	groupFooter11_Fee	groupFooter11_FeeDirLab	groupFooter11_ReimbAllow	groupFooter10_GroupColumn	groupFooter10_Fee	groupFooter10_FeeDirLab	groupFooter10_ReimbAllow	groupFooter9_GroupColumn	groupFooter9_Fee	groupFooter9_FeeDirLab	groupFooter9_ReimbAllow	groupFooter8_GroupColumn	groupFooter8_Fee	groupFooter8_FeeDirLab	groupFooter8_ReimbAllow	groupFooter7_GroupColumn	groupFooter7_Fee	groupFooter7_FeeDirLab	groupFooter7_ReimbAllow	groupFooter6_GroupColumn	groupFooter6_Fee	groupFooter6_FeeDirLab	groupFooter6_ReimbAllow	groupFooter5_GroupColumn	groupFooter5_Fee	groupFooter5_FeeDirLab	groupFooter5_ReimbAllow	groupFooter4_GroupColumn	groupFooter4_Fee	groupFooter4_FeeDirLab	groupFooter4_ReimbAllow	groupFooter3_GroupColumn	groupFooter3_Fee	groupFooter3_FeeDirLab	groupFooter3_ReimbAllow
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	0101910.00.0	600	Stakeholder Engagement	San Francisco Studio 01	"59,000.00"	"59,000.00"		Total for 2/12/2024	"59,000.00"	"59,000.00"		Total for Real	"59,000.00"	"59,000.00"		Total for CA	"59,000.00"	"59,000.00"		Total for San Jose	"59,000.00"	"59,000.00"		Total for East Side Union HSD Master Plan	"59,000.00"	"59,000.00"		Total for Active	"59,000.00"	"59,000.00"		Total for K12 Education	"59,000.00"	"59,000.00"		Total for 9/19/2025	"59,000.00"	"59,000.00"		Total for 2/27/2024	"59,000.00"	"59,000.00"	
Start Date: 2/17/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: MPS Long Range Facilities Master Plan	City: Milwaukee	State: WI	Real or Awaiting: Real	Date Awarded: 3/4/2024	0102030.00.0	 	MPS Long Range Facilities Master Plan	Austin Studio 01	"933,028.85"	"933,028.85"	"15,000.00"	Total for 3/4/2024	"933,028.85"	"933,028.85"	"15,000.00"	Total for Real	"933,028.85"	"933,028.85"	"15,000.00"	Total for WI	"933,028.85"	"933,028.85"	"15,000.00"	Total for Milwaukee	"933,028.85"	"933,028.85"	"15,000.00"	Total for MPS Long Range Facilities Master Plan	"933,028.85"	"933,028.85"	"15,000.00"	Total for Active	"933,028.85"	"933,028.85"	"15,000.00"	Total for K12 Education	"933,028.85"	"933,028.85"	"15,000.00"	Total for 10/31/2025	"933,028.85"	"933,028.85"	"15,000.00"	Total for 2/17/2024	"933,028.85"	"933,028.85"	"15,000.00"
Start Date: 2/17/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: MPS Long Range Facilities Master Plan	City: Milwaukee	State: WI	Real or Awaiting: Real	Date Awarded: 3/4/2024	0102030.00.0	911	Phase I	Austin Studio 01	"352,024.18"	"352,024.18"	"10,000.00"	Total for 3/4/2024	"352,024.18"	"352,024.18"	"10,000.00"	Total for Real	"352,024.18"	"352,024.18"	"10,000.00"	Total for WI	"352,024.18"	"352,024.18"	"10,000.00"	Total for Milwaukee	"352,024.18"	"352,024.18"	"10,000.00"	Total for MPS Long Range Facilities Master Plan	"352,024.18"	"352,024.18"	"10,000.00"	Total for Active	"352,024.18"	"352,024.18"	"10,000.00"	Total for K12 Education	"352,024.18"	"352,024.18"	"10,000.00"	Total for 10/31/2025	"352,024.18"	"352,024.18"	"10,000.00"	Total for 2/17/2024	"352,024.18"	"352,024.18"	"10,000.00"
Start Date: 2/17/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: MPS Long Range Facilities Master Plan	City: Milwaukee	State: WI	Real or Awaiting: Real	Date Awarded: 3/4/2024	0102030.00.0	912	Phase II	Austin Studio 01	"250,754.67"	"250,754.67"	"5,000.00"	Total for 3/4/2024	"250,754.67"	"250,754.67"	"5,000.00"	Total for Real	"250,754.67"	"250,754.67"	"5,000.00"	Total for WI	"250,754.67"	"250,754.67"	"5,000.00"	Total for Milwaukee	"250,754.67"	"250,754.67"	"5,000.00"	Total for MPS Long Range Facilities Master Plan	"250,754.67"	"250,754.67"	"5,000.00"	Total for Active	"250,754.67"	"250,754.67"	"5,000.00"	Total for K12 Education	"250,754.67"	"250,754.67"	"5,000.00"	Total for 10/31/2025	"250,754.67"	"250,754.67"	"5,000.00"	Total for 2/17/2024	"250,754.67"	"250,754.67"	"5,000.00"
Start Date: 2/17/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: MPS Long Range Facilities Master Plan	City: Milwaukee	State: WI	Real or Awaiting: Real	Date Awarded: 3/4/2024	0102030.00.0	913	Task 1	Austin Studio 01	"239,200.00"	"239,200.00"		Total for 3/4/2024	"239,200.00"	"239,200.00"		Total for Real	"239,200.00"	"239,200.00"		Total for WI	"239,200.00"	"239,200.00"		Total for Milwaukee	"239,200.00"	"239,200.00"		Total for MPS Long Range Facilities Master Plan	"239,200.00"	"239,200.00"		Total for Active	"239,200.00"	"239,200.00"		Total for K12 Education	"239,200.00"	"239,200.00"		Total for 10/31/2025	"239,200.00"	"239,200.00"		Total for 2/17/2024	"239,200.00"	"239,200.00"	
Start Date: 2/17/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: MPS Long Range Facilities Master Plan	City: Milwaukee	State: WI	Real or Awaiting: Real	Date Awarded: 3/4/2024	0102030.00.0	914	Task 2	Austin Studio 01	"14,400.00"	"14,400.00"		Total for 3/4/2024	"14,400.00"	"14,400.00"		Total for Real	"14,400.00"	"14,400.00"		Total for WI	"14,400.00"	"14,400.00"		Total for Milwaukee	"14,400.00"	"14,400.00"		Total for MPS Long Range Facilities Master Plan	"14,400.00"	"14,400.00"		Total for Active	"14,400.00"	"14,400.00"		Total for K12 Education	"14,400.00"	"14,400.00"		Total for 10/31/2025	"14,400.00"	"14,400.00"		Total for 2/17/2024	"14,400.00"	"14,400.00"	
Start Date: 2/17/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: MPS Long Range Facilities Master Plan	City: Milwaukee	State: WI	Real or Awaiting: Real	Date Awarded: 3/4/2024	0102030.00.0	915	Task 3	Austin Studio 01	"50,650.00"	"50,650.00"		Total for 3/4/2024	"50,650.00"	"50,650.00"		Total for Real	"50,650.00"	"50,650.00"		Total for WI	"50,650.00"	"50,650.00"		Total for Milwaukee	"50,650.00"	"50,650.00"		Total for MPS Long Range Facilities Master Plan	"50,650.00"	"50,650.00"		Total for Active	"50,650.00"	"50,650.00"		Total for K12 Education	"50,650.00"	"50,650.00"		Total for 10/31/2025	"50,650.00"	"50,650.00"		Total for 2/17/2024	"50,650.00"	"50,650.00"	
Start Date: 2/17/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: MPS Long Range Facilities Master Plan	City: Milwaukee	State: WI	Real or Awaiting: Real	Date Awarded: 3/4/2024	0102030.00.0	916	Task 4	Austin Studio 01	"6,000.00"	"6,000.00"		Total for 3/4/2024	"6,000.00"	"6,000.00"		Total for Real	"6,000.00"	"6,000.00"		Total for WI	"6,000.00"	"6,000.00"		Total for Milwaukee	"6,000.00"	"6,000.00"		Total for MPS Long Range Facilities Master Plan	"6,000.00"	"6,000.00"		Total for Active	"6,000.00"	"6,000.00"		Total for K12 Education	"6,000.00"	"6,000.00"		Total for 10/31/2025	"6,000.00"	"6,000.00"		Total for 2/17/2024	"6,000.00"	"6,000.00"	
Start Date: 2/17/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: MPS Long Range Facilities Master Plan	City: Milwaukee	State: WI	Real or Awaiting: Real	Date Awarded: 3/4/2024	0102030.00.0	917	Task 5	Austin Studio 01				Total for 3/4/2024				Total for Real				Total for WI				Total for Milwaukee				Total for MPS Long Range Facilities Master Plan				Total for Active				Total for K12 Education				Total for 10/31/2025				Total for 2/17/2024			
Start Date: 2/17/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: MPS Long Range Facilities Master Plan	City: Milwaukee	State: WI	Real or Awaiting: Real	Date Awarded: 3/4/2024	0102030.00.0	918	Task 6 - Staff Travel	Austin Studio 01	"20,000.00"	"20,000.00"		Total for 3/4/2024	"20,000.00"	"20,000.00"		Total for Real	"20,000.00"	"20,000.00"		Total for WI	"20,000.00"	"20,000.00"		Total for Milwaukee	"20,000.00"	"20,000.00"		Total for MPS Long Range Facilities Master Plan	"20,000.00"	"20,000.00"		Total for Active	"20,000.00"	"20,000.00"		Total for K12 Education	"20,000.00"	"20,000.00"		Total for 10/31/2025	"20,000.00"	"20,000.00"		Total for 2/17/2024	"20,000.00"	"20,000.00"	
Start Date: 2/17/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: MPS Long Range Facilities Master Plan	City: Milwaukee	State: WI	Real or Awaiting: Real	Date Awarded: 3/4/2024	0102030.00.0	999	Unassigned Labor & Expenses	Austin Studio 01				Total for 3/4/2024				Total for Real				Total for WI				Total for Milwaukee				Total for MPS Long Range Facilities Master Plan				Total for Active				Total for K12 Education				Total for 10/31/2025				Total for 2/17/2024			
Start Date: 3/2/2024	Estimated Completion Date: 7/25/2025	Practice Area: K12 Education	Status: Active	Project Short Name: Anne Arundel County Schools FMP	City: Annapolis	State: MD	Real or Awaiting: Real	Date Awarded: 3/1/2024	0102040.00.0	 	Anne Arundel County Schools FMP	Austin Studio 01	"578,565.50"	"578,565.50"	"25,000.00"	Total for 3/1/2024	"578,565.50"	"578,565.50"	"25,000.00"	Total for Real	"578,565.50"	"578,565.50"	"25,000.00"	Total for MD	"578,565.50"	"578,565.50"	"25,000.00"	Total for Annapolis	"578,565.50"	"578,565.50"	"25,000.00"	Total for Anne Arundel County Schools FMP	"578,565.50"	"578,565.50"	"25,000.00"	Total for Active	"578,565.50"	"578,565.50"	"25,000.00"	Total for K12 Education	"578,565.50"	"578,565.50"	"25,000.00"	Total for 7/25/2025	"578,565.50"	"578,565.50"	"25,000.00"	Total for 3/2/2024	"578,565.50"	"578,565.50"	"25,000.00"
Start Date: 3/2/2024	Estimated Completion Date: 7/25/2025	Practice Area: K12 Education	Status: Active	Project Short Name: Anne Arundel County Schools FMP	City: Annapolis	State: MD	Real or Awaiting: Real	Date Awarded: 3/1/2024	0102040.00.0	911	Phase I	Austin Studio 01	"363,872.25"	"363,872.25"	"15,000.00"	Total for 3/1/2024	"363,872.25"	"363,872.25"	"15,000.00"	Total for Real	"363,872.25"	"363,872.25"	"15,000.00"	Total for MD	"363,872.25"	"363,872.25"	"15,000.00"	Total for Annapolis	"363,872.25"	"363,872.25"	"15,000.00"	Total for Anne Arundel County Schools FMP	"363,872.25"	"363,872.25"	"15,000.00"	Total for Active	"363,872.25"	"363,872.25"	"15,000.00"	Total for K12 Education	"363,872.25"	"363,872.25"	"15,000.00"	Total for 7/25/2025	"363,872.25"	"363,872.25"	"15,000.00"	Total for 3/2/2024	"363,872.25"	"363,872.25"	"15,000.00"
Start Date: 3/2/2024	Estimated Completion Date: 7/25/2025	Practice Area: K12 Education	Status: Active	Project Short Name: Anne Arundel County Schools FMP	City: Annapolis	State: MD	Real or Awaiting: Real	Date Awarded: 3/1/2024	0102040.00.0	912	Phase II	Austin Studio 01	"214,693.25"	"214,693.25"	"10,000.00"	Total for 3/1/2024	"214,693.25"	"214,693.25"	"10,000.00"	Total for Real	"214,693.25"	"214,693.25"	"10,000.00"	Total for MD	"214,693.25"	"214,693.25"	"10,000.00"	Total for Annapolis	"214,693.25"	"214,693.25"	"10,000.00"	Total for Anne Arundel County Schools FMP	"214,693.25"	"214,693.25"	"10,000.00"	Total for Active	"214,693.25"	"214,693.25"	"10,000.00"	Total for K12 Education	"214,693.25"	"214,693.25"	"10,000.00"	Total for 7/25/2025	"214,693.25"	"214,693.25"	"10,000.00"	Total for 3/2/2024	"214,693.25"	"214,693.25"	"10,000.00"
Start Date: 3/2/2024	Estimated Completion Date: 7/25/2025	Practice Area: K12 Education	Status: Active	Project Short Name: Anne Arundel County Schools FMP	City: Annapolis	State: MD	Real or Awaiting: Real	Date Awarded: 3/1/2024	0102040.00.0	999	Unassigned Labor & Expenses	Austin Studio 01				Total for 3/1/2024				Total for Real				Total for MD				Total for Annapolis				Total for Anne Arundel County Schools FMP				Total for Active				Total for K12 Education				Total for 7/25/2025				Total for 3/2/2024			
Start Date: 6/26/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: OUSD Facilities Master Planning Services	City: Oakland	State: CA	Real or Awaiting: Real	Date Awarded: 8/2/2024	0104200.00.0	 	OUSD Facilities Master Planning Services	San Francisco Studio 01	"626,189.75"	"626,189.75"	"122,985.00"	Total for 8/2/2024	"626,189.75"	"626,189.75"	"122,985.00"	Total for Real	"626,189.75"	"626,189.75"	"122,985.00"	Total for CA	"626,189.75"	"626,189.75"	"122,985.00"	Total for Oakland	"626,189.75"	"626,189.75"	"122,985.00"	Total for OUSD Facilities Master Planning Services	"626,189.75"	"626,189.75"	"122,985.00"	Total for Active	"626,189.75"	"626,189.75"	"122,985.00"	Total for K12 Education	"626,189.75"	"626,189.75"	"122,985.00"	Total for 10/31/2025	"626,189.75"	"626,189.75"	"122,985.00"	Total for 6/26/2024	"626,189.75"	"626,189.75"	"122,985.00"
Start Date: 6/26/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: OUSD Facilities Master Planning Services	City: Oakland	State: CA	Real or Awaiting: Real	Date Awarded: 8/2/2024	0104200.00.0	100	Part A: Review of Existing Material	San Francisco Studio 01				Total for 8/2/2024				Total for Real				Total for CA				Total for Oakland				Total for OUSD Facilities Master Planning Services				Total for Active				Total for K12 Education				Total for 10/31/2025				Total for 6/26/2024			
Start Date: 6/26/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: OUSD Facilities Master Planning Services	City: Oakland	State: CA	Real or Awaiting: Real	Date Awarded: 8/2/2024	0104200.00.0	200	Part B: Site Assessments	San Francisco Studio 01				Total for 8/2/2024				Total for Real				Total for CA				Total for Oakland				Total for OUSD Facilities Master Planning Services				Total for Active				Total for K12 Education				Total for 10/31/2025				Total for 6/26/2024			
Start Date: 6/26/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: OUSD Facilities Master Planning Services	City: Oakland	State: CA	Real or Awaiting: Real	Date Awarded: 8/2/2024	0104200.00.0	300	Part C: Development of FMP	San Francisco Studio 01	"626,189.75"	"626,189.75"		Total for 8/2/2024	"626,189.75"	"626,189.75"		Total for Real	"626,189.75"	"626,189.75"		Total for CA	"626,189.75"	"626,189.75"		Total for Oakland	"626,189.75"	"626,189.75"		Total for OUSD Facilities Master Planning Services	"626,189.75"	"626,189.75"		Total for Active	"626,189.75"	"626,189.75"		Total for K12 Education	"626,189.75"	"626,189.75"		Total for 10/31/2025	"626,189.75"	"626,189.75"		Total for 6/26/2024	"626,189.75"	"626,189.75"	
Start Date: 6/26/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: OUSD Facilities Master Planning Services	City: Oakland	State: CA	Real or Awaiting: Real	Date Awarded: 8/2/2024	0104200.00.0	400	Part D: Community Engagement	San Francisco Studio 01				Total for 8/2/2024				Total for Real				Total for CA				Total for Oakland				Total for OUSD Facilities Master Planning Services				Total for Active				Total for K12 Education				Total for 10/31/2025				Total for 6/26/2024			
Start Date: 6/26/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: OUSD Facilities Master Planning Services	City: Oakland	State: CA	Real or Awaiting: Real	Date Awarded: 8/2/2024	0104200.00.0	500	Contingency NTE	San Francisco Studio 01			"122,985.00"	Total for 8/2/2024			"122,985.00"	Total for Real			"122,985.00"	Total for CA			"122,985.00"	Total for Oakland			"122,985.00"	Total for OUSD Facilities Master Planning Services			"122,985.00"	Total for Active			"122,985.00"	Total for K12 Education			"122,985.00"	Total for 10/31/2025			"122,985.00"	Total for 6/26/2024			"122,985.00"
Start Date: 11/9/2024	Estimated Completion Date: 12/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: BPS: Long-Term Facilties Plan	City: Roxbury	State: MA	Real or Awaiting: Real	Date Awarded: 10/7/2024	0104620.00.0	 	BPS: Long-Term Facilties Plan	Austin Studio 01	"200,000.00"	"200,000.00"	"10,000.00"	Total for 10/7/2024	"200,000.00"	"200,000.00"	"10,000.00"	Total for Real	"200,000.00"	"200,000.00"	"10,000.00"	Total for MA	"200,000.00"	"200,000.00"	"10,000.00"	Total for Roxbury	"200,000.00"	"200,000.00"	"10,000.00"	Total for BPS: Long-Term Facilties Plan	"200,000.00"	"200,000.00"	"10,000.00"	Total for Active	"200,000.00"	"200,000.00"	"10,000.00"	Total for K12 Education	"200,000.00"	"200,000.00"	"10,000.00"	Total for 12/31/2025	"200,000.00"	"200,000.00"	"10,000.00"	Total for 11/9/2024	"200,000.00"	"200,000.00"	"10,000.00"
Start Date: 11/9/2024	Estimated Completion Date: 12/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: BPS: Long-Term Facilties Plan	City: Roxbury	State: MA	Real or Awaiting: Real	Date Awarded: 10/7/2024	0104620.00.0	30	Advisory Services	Austin Studio 01	"200,000.00"	"200,000.00"	"10,000.00"	Total for 10/7/2024	"200,000.00"	"200,000.00"	"10,000.00"	Total for Real	"200,000.00"	"200,000.00"	"10,000.00"	Total for MA	"200,000.00"	"200,000.00"	"10,000.00"	Total for Roxbury	"200,000.00"	"200,000.00"	"10,000.00"	Total for BPS: Long-Term Facilties Plan	"200,000.00"	"200,000.00"	"10,000.00"	Total for Active	"200,000.00"	"200,000.00"	"10,000.00"	Total for K12 Education	"200,000.00"	"200,000.00"	"10,000.00"	Total for 12/31/2025	"200,000.00"	"200,000.00"	"10,000.00"	Total for 11/9/2024	"200,000.00"	"200,000.00"	"10,000.00"
